Energy	Efficiency(GR)	alpha(norm)
3105	0.6219823225	88.7180306
3110	0.6222197006	88.7220644
3115	0.6225035313	88.72608652
3120	0.6227976195	88.73009399
3125	0.6230371643	88.73408735
3130	0.6231056328	88.7380642
3135	0.6229087812	88.74202896
3140	0.6223019307	88.74598179
3145	0.6211368647	88.74992272
3150	0.619280619	88.75385191
3155	0.6169078354	88.75176944
3160	0.6139686136	88.75567494
3165	0.6103539657	88.75956926
3170	0.6061462279	88.76345249
3175	0.6014675149	88.76731971
3180	0.5965532433	88.77117464
3185	0.591676595	88.77501723
3190	0.5871597629	88.77884864
3195	0.5833210821	88.7826688
3200	0.5804422027	88.78647743
3205	0.5787385836	88.79027451
3210	0.5787065054	88.78806021
3215	0.5798750134	88.7918355
3220	0.5821682436	88.7955994
3225	0.5854660832	88.79935157
3230	0.589588708	88.80308875
3235	0.5943367276	88.80681381
3240	0.5994698945	88.81052864
3245	0.6047286574	88.81423247
3250	0.6098625937	88.81792533
3255	0.6146532303	88.82160505
3260	0.6189468004	88.82527387
3265	0.6226504614	88.82893268
3270	0.6257368512	88.83258107
3275	0.6282300251	88.83621908
3280	0.6301616359	88.83984119
3285	0.6316467242	88.84345201
3290	0.6327912578	88.84705221
3295	0.6337016628	88.8506423
3300	0.6344747366	88.85422232
3305	0.6351892249	88.85779151
3310	0.6359116673	88.86135048
3315	0.6366848426	88.86489934
3320	0.6375306519	88.86843832
3325	0.6384497389	88.87196747
3330	0.6394076416	88.87548363
3335	0.6403831357	88.87898832
3340	0.6413358391	88.8824816
3345	0.6422380857	88.88596514
3350	0.643054226	88.88943945
3355	0.6437579716	88.89290366
3360	0.6443328929	88.89635769
3365	0.6447747481	88.89980185
3370	0.6450947734	88.90323636
3375	0.6453148226	88.90666197
3380	0.6455263422	88.90407752
3385	0.6460630374	88.90747908
3390	0.6465152449	88.91086988
3395	0.6469001398	88.91424866
3400	0.647260857	88.91761848
3405	0.6476302201	88.92097934
3410	0.6480416264	88.92433113
3415	0.6485170535	88.92767384
3420	0.6490691388	88.93100811
3425	0.649696652	88.93433342
3430	0.6503856347	88.93764981
3435	0.6511022557	88.9409563
3440	0.6517994759	88.94425132
3445	0.6524479618	88.94753532
3450	0.6530077564	88.95080763
3455	0.6534630904	88.95407111
3460	0.6537981845	88.9573258
3465	0.6540134659	88.96057215
3470	0.6541247504	88.96380998
3475	0.6541613941	88.96704026
3480	0.6541645332	88.97026215
3485	0.6541807138	88.97347496
3490	0.6542481239	88.97667896
3495	0.654376994	88.97987042
3500	0.6546040535	88.98305278
3505	0.6549118722	88.98622316
3510	0.6553018833	88.98938517
3515	0.6557393045	88.99253883
3520	0.6561793936	88.99568434
3525	0.6565736702	88.99882194
3530	0.6568778973	89.0019514
3535	0.6575576679	88.99907281
3540	0.6582467426	89.00218627
3545	0.6588798164	89.00529189
3550	0.6594043016	89.00838696
3555	0.6597885826	89.01147124
3560	0.660024621	89.01454603
3565	0.6601130668	89.01761137
3570	0.6600805869	89.02066854
3575	0.6599573868	89.02371759
3580	0.6597811564	89.02675936
3585	0.6595953526	89.0297938
3590	0.6594434096	89.0328204
3595	0.6593590374	89.03583918
3600	0.6593620303	89.0388505
3605	0.6594601504	89.04185436
3610	0.6596291332	89.04484644
3615	0.6598447626	89.04782664
3620	0.6600850096	89.05079866
3625	0.66030155	89.05376242
3630	0.6604422566	89.05671861
3635	0.6604468906	89.05966727
3640	0.6602525333	89.06260892
3645	0.6606023333	89.05954401
3650	0.6606374849	89.06247156
3655	0.6602024851	89.0653914
3660	0.6591839898	89.06830366
3665	0.6574911248	89.0712077
3670	0.6550763801	89.07410401
3675	0.65189619	89.07698941
3680	0.6479884781	89.07986756
3685	0.6433975336	89.08273847
3690	0.6382004153	89.0856022
3695	0.632506685	89.08845837
3700	0.626467235	89.09130734
3705	0.6205118648	89.08814664
3710	0.6149701881	89.090978
3715	0.6099101904	89.09380231
3720	0.6056010522	89.09661959
3725	0.6022572631	89.0994286
3730	0.6000351335	89.10222907
3735	0.5990271504	89.10502257
3740	0.5992357909	89.10780906
3745	0.6006104849	89.11058866
3750	0.6030506263	89.11336134
3755	0.6064286051	89.1161272
3760	0.6105973549	89.11888568
3765	0.6154027122	89.12163733
3770	0.6206740375	89.12438172
3775	0.6262301295	89.12711917
3780	0.6318755126	89.12984922
3785	0.6374131311	89.13257184
3790	0.6426499697	89.13528662
3795	0.6474007624	89.13799115
3800	0.6515393702	89.1406891
3805	0.6549600818	89.14338027
3810	0.6576090442	89.1460649
3815	0.6594847662	89.14874308
3820	0.6606411203	89.1514148
3825	0.6616762742	89.14808054
3830	0.6630396791	89.15074038
3835	0.6639828093	89.15339382
3840	0.664563917	89.15604086
3845	0.6648657635	89.15868156
3850	0.6649605171	89.16131189
3855	0.6649874924	89.1639354
3860	0.6650537657	89.16655089
3865	0.6652567735	89.16915882
3870	0.6656687162	89.17176052
3875	0.6663155173	89.17435602
3880	0.6671776765	89.17694534
3885	0.6681921606	89.17952913
3890	0.6692580967	89.18210685
3895	0.6702539296	89.18467869
3900	0.6710566708	89.18724462
3905	0.6715605327	89.189804
3910	0.6716912188	89.19235502
3915	0.6714492923	89.19490003
3920	0.6717238421	89.19143643
3925	0.6723110666	89.19396617
3930	0.672572679	89.19648992
3935	0.672521186	89.19900769
3940	0.6722194201	89.20151956
3945	0.6717684647	89.20402509
3950	0.6712981408	89.20652477
3955	0.6709353981	89.20901808
3960	0.6707898723	89.21150515
3965	0.670931711	89.21398628
3970	0.6713680175	89.21646025
3975	0.6720636852	89.21892848
3980	0.6729053932	89.22138867
3985	0.6737615443	89.22384188
3990	0.6744856182	89.22628935
3995	0.6749332463	89.22873081
4000	0.6750039775	89.23116664
4005	0.6746549103	89.23359676
4010	0.6742270758	89.23002125
4015	0.6748830069	89.23243992
4020	0.6751638453	89.23485182
4025	0.6750617578	89.2372582
4030	0.6746296559	89.23951856
4035	0.6740466409	89.24140512
4040	0.6734056849	89.24328407
4045	0.6727409034	89.24515432
4050	0.6721234994	89.24701716
4055	0.6715989915	89.24887277
4060	0.6722234254	89.25672111
4065	0.6730177601	89.25856206
4070	0.6737952383	89.26039556
4075	0.6744991329	89.26222167
4080	0.6750749597	89.26403991
4085	0.6754799148	89.26585008
4090	0.6756908464	89.26765288
4095	0.6756918687	89.26944783
4100	0.6754905408	89.27123531
4105	0.6751038356	89.27301485
4110	0.6745500404	89.27478448
4115	0.673898579	89.27654677
4120	0.6732008189	89.27830129
4125	0.6725684873	89.27404814
4130	0.6719780883	89.27578766
4135	0.6713963262	89.28351984
4140	0.6710459811	89.28524471
4145	0.6708667817	89.28696241
4150	0.6708623388	89.2886733
4155	0.6710186006	89.29037688
4160	0.6713048283	89.2920729
4165	0.6716810626	89.2937614
4170	0.6721010412	89.2954426
4175	0.6724910863	89.29711374
4180	0.6728172087	89.29877706
4185	0.6730366629	89.30043287
4190	0.6731055143	89.30207961
4195	0.673005018	89.30371908
4200	0.6727217794	89.30535124
4205	0.6722556707	89.30697609
4210	0.6716195092	89.30859366
4215	0.6708425479	89.31020542
4220	0.669957148	89.3118108
4225	0.6690010195	89.31340889
4230	0.6680133156	89.3149992
4235	0.6670450157	89.31658211
4240	0.6664557906	89.32415759
4245	0.6669720826	89.32572271
4250	0.6675309789	89.32728054
4255	0.6680774033	89.32883068
4260	0.6685536323	89.33037221
4265	0.6689181436	89.33190644
4270	0.6691290799	89.33343336
4275	0.6691545581	89.33495295
4280	0.6689746248	89.33646524
4285	0.6685828039	89.33797057
4290	0.6679851861	89.33946887
4295	0.6671994577	89.34095986
4300	0.6662441421	89.34244285
4305	0.6651615468	89.34391818
4310	0.6639996723	89.34538619
4315	0.6627887992	89.34684549
4320	0.6615890742	89.34829709
4325	0.6604506246	89.34974134
4330	0.6594105145	89.35117778
4335	0.6585049503	89.3526068
4340	0.6579629282	89.36002845
4345	0.6581632865	89.36144257
4350	0.6582456784	89.3628493
4355	0.6581791797	89.36424865
4360	0.6579255253	89.36563956
4365	0.6574652375	89.36702307
4370	0.6567726921	89.36839911
4375	0.6558065881	89.36976584
4380	0.6553174562	89.36512515
4385	0.6546890928	89.36647704
4390	0.6537684695	89.36782134
4395	0.6525074721	89.3691582
4400	0.6508632831	89.37048761
4405	0.6488054536	89.37180962
4410	0.6463176152	89.37312415
4415	0.6433972825	89.37443118
4420	0.6400540866	89.37573023
